Pump_ID,ZCR,RMS,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Actual_Failure,Failure_Probability,Predicted_Failure,Economic_Optimization,Maintenance_Hours,Failure_Cost,Maintenance_Cost,Risk_Weight,Expected_Failure_Loss,Expected_Net_Benefit,Benefit_Per_Hour,Condition_Severity,Condition_Severity_Normalized,Expected_Failure_Loss_Check,Expected_Net_Benefit_Check,Benefit_Per_Hour_Check,High_Risk,MILP_Selected,Maintenance_Decision,Risk_Level
347,0.114293692591853,0.009633536,1830.6695827474068,2037.2306052069612,4271.290934504792,-301.49472,83.92457,10.639193,27.524443,9.407368,9.425531,-3.7040563,5.1482835,0.4008907,3.0732942,9.511362,2.6515062,-6.118898,1,1.0,1,1,4.0,64049.131162017584,6842.947869721055,1000.0,64049.131162017584,57206.183292296526,14301.545823074131,3.6206635321380194,0.2809826232403517,64049.131162017584,57206.183292296526,14301.545823074131,1,1,MAINTAIN,HIGH RISK
358,0.112864728933706,0.010274921,1560.5123284306485,1783.4184793206823,3450.454273162939,-289.00696,101.37165,-2.5217624,28.12736,8.30724,5.7903337,-4.2725,5.880149,-2.2501853,-0.809001,6.4851017,-4.132425,-6.8195877,1,1.0,1,1,2.0,57274.692578982824,6436.481554738969,1000.0,57274.692578982824,50838.21102424386,25419.10551212193,2.691133839100247,0.14549385157965639,57274.692578982824,50838.21102424386,25419.10551212193,1,1,MAINTAIN,HIGH RISK
511,0.1388029153354632,0.008823701,1956.6994161386904,2011.7283371046935,4244.034544728434,-299.4401,82.614075,1.7687578,12.539117,0.61782026,1.547272,-0.86526686,3.4550524,-3.1245031,-2.686989,16.726019,9.560867,-10.860645,1,0.995,1,1,6.0,71424.45006313764,7285.467003788259,1000.0,71067.32781282195,63781.86080903369,10630.310134838948,4.632640809691652,0.42848900126275297,71067.32781282195,63781.86080903369,10630.310134838948,1,1,MAINTAIN,HIGH RISK
470,0.114109612120607,0.009981701,1685.1747655168429,1909.7639362198925,3831.0952476038337,-285.1156,94.69619,4.81344,25.826185,5.43497,3.4952123,-2.8633742,3.6590908,-1.1201862,-3.2814133,5.942341,2.1285124,-9.587961,1,0.995,1,1,2.0,58173.42426376293,6490.405455825776,1000.0,57882.557142444115,51392.15168661834,25696.07584330917,2.8144500042462504,0.16346848527525853,57882.557142444115,51392.15168661834,25696.07584330917,1,1,MAINTAIN,HIGH RISK
480,0.1041630266573482,0.010222198,1540.9752708856745,1806.1341649165176,3465.629992012779,-293.56717,102.21614,1.2624886,27.431335,9.093269,4.1105466,-5.010604,3.7772586,-2.947193,-1.6438823,7.2640753,-4.520833,-7.315886,1,0.995,1,1,2.0,59161.299957830895,6549.677997469853,1000.0,58865.49345804174,52315.81546057189,26157.907730285944,2.9499977370083528,0.18322599915661783,58865.49345804174,52315.81546057189,26157.907730285944,1,1,MAINTAIN,HIGH RISK
296,0.1255038812899361,0.01039166,1584.3240982130112,1794.1874621673253,3471.2460063897765,-286.51596,100.30066,-2.572108,28.699896,8.513431,5.211226,-2.1846886,6.217259,-2.8553252,-0.3072132,5.872954,-5.935109,-7.6265397,1,0.995,1,1,2.0,58641.845351174394,6518.510721070463,1000.0,58348.636124418525,51830.125403348065,25915.062701674033,2.8787226822338257,0.17283690702348783,58348.636124418525,51830.125403348065,25915.062701674033,1,1,MAINTAIN,HIGH RISK
413,0.1218643919728434,0.009743764,1744.339145788848,1933.4491148487227,4023.961661341853,-291.32422,90.07319,0.6929483,20.29395,9.455687,16.816725,2.7462218,5.5681777,-5.3198895,-1.1451766,11.383255,0.10996181,-12.739282,1,0.995,1,1,4.0,65659.03249780329,6939.541949868198,1000.0,65330.73733531427,58391.19538544607,14597.798846361518,3.8415602272857994,0.3131806499560659,65330.73733531427,58391.19538544607,14597.798846361518,1,1,MAINTAIN,HIGH RISK
431,0.1155604158346645,0.0100694895,1689.1079870015385,1890.995476234714,3870.4323083067097,-280.8132,94.5325,1.7607818,25.187418,6.1701255,7.6680555,-4.263566,5.0422115,-2.446612,0.78300864,6.7459073,-0.17245191,-7.191598,1,0.99,1,1,2.0,54568.02357721234,6274.081414632741,1000.0,54022.34334144022,47748.26192680748,23874.13096340374,2.319748199459022,0.09136047154424694,54022.34334144022,47748.26192680748,23874.13096340374,1,1,MAINTAIN,HIGH RISK
503,0.1177818615215655,0.009542161,1737.776865579385,1951.3316890347176,3935.078873801917,-296.17926,90.413414,3.6772406,21.903006,8.963779,12.6045885,3.932387,4.7908387,-3.1912868,-3.438311,13.935765,7.5688744,-13.368392,1,0.985,1,1,4.0,69384.91146018801,7163.094687611281,1000.0,68344.1377882852,61181.043100673916,15295.260775168479,4.352793015914888,0.3876982292037602,68344.1377882852,61181.043100673916,15295.260775168479,1,1,MAINTAIN,HIGH RISK
300,0.1242277980231629,0.010409478,1582.5178615990303,1787.9008403159894,3470.4972044728434,-286.45935,100.907646,-1.6550413,28.279627,5.7630076,3.6034977,-3.6956635,4.9596286,-3.486476,-1.2825031,5.215387,-3.6837778,-6.5974994,1,0.98,1,1,2.0,55823.999775631506,6349.43998653789,1000.0,54707.51978011888,48358.07979358099,24179.039896790495,2.4920823576139135,0.1164799955126302,54707.51978011888,48358.07979358099,24179.039896790495,1,1,MAINTAIN,HIGH RISK
